Year,Make,Model,Used/New,Price,ConsumerRating,ConsumerReviews,SellerType,SellerName,SellerRating,SellerReviews,StreetName,State,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,ExteriorColor,InteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock#,Mileage
2019,BMW,X5 xDrive40i,Used,"$48,481 ",4.7,55,Dealer,BMW of Gwinnett Place,4.7,846,3264 Commerce Ave Duluth,GA,30096,Fair,5,4.9,4.9,4.4,4.7,4.6,Mineral White Metallic,Amarone,All-wheel Drive,20,26,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR6C53KLL24816,100092B,55931
2021,Chevrolet,Tahoe Z71,Used,"$69,690 ",4.5,37,Dealer,AutoNation Volkswagen Mall of Georgia,4.5,745,3711 Buford Dr Buford,GA,30519,Good,4.6,4.7,4.4,4.3,4.7,4.3,Cherry Red Tintcoat,–,Four-wheel Drive,16,20,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKPKD2MR219563,MR219563,16261
2018,Toyota,RAV4 Hybrid Limited,Toyota Certified,"$30,995 ",4.8,115,Dealer,Toyota Direct,3.9,566,4248 Morse Rd Columbus,OH,43230,Good,4.8,4.7,4.9,4.7,4.7,4.9,Galactic Aqua,Ash,All-wheel Drive,34,30,Hybrid,Automatic CVT,2.5L I4 16V MPFI DOHC Hybrid,JTMDJREV5JD173031,JD173031,58539
2020,BMW,M340 i,Used,"$50,000 ",4.9,29,Dealer,Gastonia Chrysler Dodge Jeep Ram,4.9,3614,2339 E Franklin Blvd Gastonia,NC,28054,Great,4.8,4.8,5,4.7,4.9,4.9,Black Sapphire Metallic,Black,Rear-wheel Drive,22,30,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA5U7C06LA234282,SA93322A,31213
2019,Lexus,RX 350 350,Used,"$48,964 ",4.8,102,Dealer,Jim Hudson Lexus Columbia,4.9,2693,328 Killian Rd Columbia,SC,29203,Fair,4.8,4.8,4.8,4.6,4.9,4.8,Atomic Silver,Gray,Front-wheel Drive,20,28,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,2T2ZZMCA0KC130633,CP8308,38697
2018,Honda,Accord EX-L,Used,"$29,900 ",4.8,652,Dealer,Union County Kia,4.8,920,4712 W HIGHWAY 74 Monroe,NC,28110,Fair,4.8,4.8,4.7,4.7,4.8,4.8,Radiant Red Metallic,Ivory,Front-wheel Drive,30,38,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F54JA238499,S2151B,51175
2018,Mercedes-Benz,C-Class C 300,Mercedes-Benz Certified,"$29,740 ",4.8,66,Dealer,Mercedes-Benz Of Tampa,4.7,3485,4400 N Dale Mabry Hwy Tampa,FL,33614,Great,4.8,4.9,4.9,4.7,4.9,4.8,Black,Black,Rear-wheel Drive,24,33,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WDDWF4JB5JR416483,CMTP180430,38184
2019,BMW,X1 sDrive28i,Used,"$32,054 ",4.7,17,Dealer,BMW of Tampa,4.7,1046,109 E. Fowler Ave Tampa,FL,33612,Good,4.8,4.6,4.8,4.7,4.8,4.6,Jet Black,Black,Front-wheel Drive,23,32,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBXHU7C57K3H46606,8C72867A,30502
2019,Cadillac,XT5 Luxury,Cadillac Certified,"$36,873 ",4.6,94,Dealer,Ed Morse Cadillac of Tampa,4.9,2787,101 E Fletcher Ave Tampa,FL,33612,Good,4.8,4.7,4.6,4.4,4.7,4.5,Stellar Black Metallic,Beige,Front-wheel Drive,19,26,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1GYKNCRS0KZ271522,TR12153,37581
2021,RAM,1500 Big Horn,Used,"$42,548 ",4.8,92,Dealer,Kia of Wesley Chapel,4.8,3454,28555 FL-54 Wesley Chapel,FL,33543,Great,4.9,4.9,4.8,4.6,4.9,4.8,Hydro Blue Pearlcoat,Black,Rear-wheel Drive,20,25,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6RREFTXMN503675,G165827A,24280
2020,Mercedes-Benz,AMG GLC 43 Base 4MATIC,Used,"$61,600 ",5,4,Dealer,Mini of Wesley Chapel,4.7,205,26645 State Road 56 Wesley Chapel,FL,33544,Good,5,5,5,5,5,5,Brilliant Blue Metallic,designo Platinum White Pearl,All-wheel Drive,18,24,Gasoline,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,W1N0G6EB7LF760087,F760087,16472
2021,RAM,1500 Big Horn,Used,"$41,623 ",4.8,92,Dealer,Greenway Nissan Venice,4.4,343,700 US 41 Bypass S Venice,FL,34285,Great,4.9,4.9,4.8,4.6,4.9,4.8,Olive Green Pearlcoat,Black,Four-wheel Drive,19,24,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFBT9MN739392,MN739392P,12236
2019,INFINITI,QX80 Luxe,Used,"$46,921 ",4.8,26,Dealer,Hudson Nissan,4.7,537,7331 Rivers Ave North Charleston,SC,29406,Great,4.8,4.7,4.8,4.7,4.8,4.8,Mineral Black,Wheat,Rear-wheel Drive,14,20,Gasoline,7-Speed Automatic,5.6L V8 32V GDI DOHC,JN8AZ2ND6K9850509,T850509,36122
2021,RAM,1500 Big Horn,RAM Certified,"$46,500 ",4.8,92,Dealer,Dodge Chrysler Jeep RAM of Winter Haven,4.4,473,299 Cypress Gardens Blvd Winter Haven,FL,33880,Good,4.9,4.9,4.8,4.6,4.9,4.8,Granite Crystal Clearcoat Metallic,Black,Rear-wheel Drive,20,25,Diesel,8-Speed Automatic,3.0L V6 24V DDI DOHC Turbo Diesel,1C6RREFM7MN811198,U304492A,10228
2020,INFINITI,QX60 Pure,Used,"$29,249 ",4.8,39,Dealer,Bonita Springs Mitsubishi,4.8,226,28450 S. Tamiami Trail Bonita Springs,FL,34134,Great,4.9,4.7,4.7,4.6,4.8,4.9,Liquid Platinum,Graphite,Front-wheel Drive,20,27,Gasoline,Automatic CVT,3.5L V6 24V GDI DOHC,5N1DL0MN5LC532390,532390C01,50011
2019,Lexus,RX 350,Used,"$45,998 ",4.8,102,Dealer,CarMax Myrtle Beach - Now offering Curbside Pickup,3.5,3,4649 Factory Store Blvd Myrtle Beach,SC,29579,Good,4.8,4.8,4.8,4.6,4.9,4.8,White,Tan,Front-wheel Drive,20,28,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,2T2ZZMCA0KC134004,22330937,14289
2018,Mercedes-Benz,C-Class C 300 4MATIC,Used,"$33,000 ",4.8,66,Dealer,Safford Chrysler Jeep Dodge RAM of Warrenton,4.5,589,7308 Cedar Run Dr Warrenton,VA,20187,Great,4.8,4.9,4.9,4.7,4.9,4.8,Silver,Black,All-wheel Drive,23,32,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WDDWF4KB3JR416271,N367611J,26802
2005,Toyota,Camry LE,Used,"$10,990 ",4.6,129,Dealer,Frederick Auto House,4.1,10,520 W South St Frederick,MD,21701,Fair,4.7,4.4,4.5,4.7,4.3,4.8,Desert Sand Mica,Stone,Front-wheel Drive,20,28,Gasoline,5-Speed Automatic,3.0L V6 24V MPFI DOHC,4T1BF30K35U099077,9077VK785,48515
2011,Nissan,Maxima 3.5 SV,Used,"$12,999 ",4.5,75,Dealer,A & H Quality Cars,4.1,49,25354 Pleasant Valley Rd Chantilly,VA,20152,Great,4.5,4.5,4.4,4.4,4.7,4.6,WHITE,Charcoal,Front-wheel Drive,19,26,Gasoline,–,3.5L DOHC 24-valve SMPI V6 engine,1N4AA5APXBC834679,834679,52366
2019,Volvo,XC60 T5 Momentum,Used,"$38,881 ",4.9,82,Dealer,Euro Motorcars Inc,4.6,586,7020 Arlington Rd Bethesda,MD,20814,Good,5,4.9,4.9,4.8,4.9,4.9,Blue,–,All-wheel Drive,20,27,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,LYV102RK4KB219022,ML220729A,33955
2021,Honda,CR-V EX-L,Used,"$36,000 ",4.9,109,Dealer,Heritage Honda of Westminster,4.9,2766,580 Baltimore Blvd Westminster,MD,21157,Good,5,4.9,4.8,4.8,4.9,4.9,Platinum White Pearl,Black,All-wheel Drive,27,32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RW2H87MA003466,MU003466,15028
2022,Tesla,Model 3 Long Range,Used,"$65,499 ",4.8,2,Dealer,Koons Clarksville Chevy Buick GMC,4.5,388,12421 Auto Dr Clarksville,MD,21029,Great,5,4.5,5,4.5,4.5,5,Deep Blue Metallic,Black,All-wheel Drive,134,126,Electric,1 speed automatic,Electric Motor,5YJ3E1EB4NF114736,000P6585,4921
2020,Tesla,Model 3 Performance,Used,"$60,400 ",4.3,16,Dealer,Leonardtown Ford,4.6,135,26322 Point Lookout Rd Leonardtown,MD,20650,Good,4.6,4.4,4.6,4,4.2,4.4,Black,Black,All-wheel Drive,118,107,–,1-Speed Automatic,0,5YJ3E1EC5LF602874,602874,46021
2015,Volvo,XC60 T6,Used,"$18,987 ",4.7,64,Dealer,Chapman Ford Columbia,4.7,92,3951 Columbia Ave Columbia,PA,17512,Good,4.8,4.6,4.7,4.5,4.8,4.7,Twilight Bronze Metallic,Off Black,All-wheel Drive,17,24,Gasoline,6-Speed Automatic,3.0L I6 24V MPFI DOHC Turbo,YV4902RK7F2710403,E220088A,117075
2020,BMW,X3 M40i,Used,"$49,999 ",4.9,51,Dealer,Off Lease Only Palm Beach,4.9,27351,1200 S Congress Ave West Palm Beach,FL,33406,Good,5,4.9,4.9,4.7,4.9,4.9,Black Sapphire Metallic,Cognac,All-wheel Drive,21,27,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXTY9C06L9B58334,C366396,32204
2019,Alfa,Romeo Stelvio Ti,Used,"$36,977 ",4.6,25,Dealer,Rick Case Maserati,4.5,150,3500 Weston Road Davie,FL,33331,Good,4.6,4.4,4.7,4.6,4.8,4.5,Vulcano Black Metallic,Red,All-wheel Drive,22,28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo,ZASPAKBN9K7C68885,PK7C68885,24601
2019,Audi,SQ5 Premium Plus,Used,"$48,288 ",4.8,7,Dealer,Audi Pembroke Pines,4.6,238,15000 Sheridan St Pembroke Pines,FL,33331,Good,4.6,4.9,4.9,4.9,4.6,4.9,Mythos Black Metallic,Black,All-wheel Drive,19,24,Gasoline,Automatic,Intercooled Turbo Premium Unleaded V-6 3.0 L/183,WA1B4AFYXK2002422,K2002422,36683
2019,Jeep,Grand Cherokee Limited,Used,"$30,082 ",4.8,224,Dealer,Lou Bachrodt of Coconut Creek,4.5,1155,5500 N State Rd 7 Coconut Creek,FL,33073,Great,4.9,4.9,4.8,4.6,4.9,4.8,Diamond Black,Black,Rear-wheel Drive,19,26,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJEBG1KC646919,MZ646919,34445
2021,Toyota,Tacoma,Used,"$38,000 ",4.8,85,Dealer,Doral Hyundai,4.6,870,10285 Northwest 12th Street Doral,FL,33172,Good,4.8,4.8,4.6,4.7,4.9,4.9,Midnight Black Metallic,Black / Red,Rear-wheel Drive,19,24,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,5TFAZ5CN2MX095625,T059177A,18752
2018,Land,Rover Range Rover Velar P380 S,Used,"$49,952 ",4,82,Dealer,Jaguar Land Rover Fort Lauderdale,4.6,531,400 W Copans Rd Pompano Beach,FL,33064,Great,4.2,4.3,4,3.4,4.6,3.4,Narvik Black,Ebony,4WD,18,24,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,SALYB2RV4JA756281,JA756281,27519
2021,Audi,Q7 55 Premium Plus,Used,"$63,791 ",4.7,12,Dealer,Audi Fort Lauderdale,4.8,1044,1200 N Federal Highway Fort Lauderdale,FL,33304,Good,4.9,4.7,4.6,4.3,4.9,4.3,Samurai Gray Metallic,Black,All-wheel Drive,18,23,Gasoline,7-Speed Automatic,V6,WA1LXAF74MD038438,VLMD038438,10666
2019,Lexus,RX 350 350,Used,"$46,588 ",4.8,102,Dealer,Lexus of North Miami,4.7,2357,14100 Biscayne Blvd North Miami,FL,33181,Good,4.8,4.8,4.8,4.6,4.9,4.8,Eminent White Pearl,Black,Front-wheel Drive,20,28,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,2T2ZZMCA1KC148865,22349201,11518
2019,Cadillac,XT4 Premium Luxury,Cadillac Certified,"$30,291 ",4.2,107,Dealer,Braman Cadillac,4.1,58,2020 Biscayne Blvd Miami,FL,33137,Great,4.5,4.5,4,3.8,4.7,3.8,Crystal White Tri-Coat,Jet Black,Front-wheel Drive,24,30,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1GYFZCR45KF109944,CN0130783A,30840
2021,Porsche,Macan GTS,Used,"$86,996 ",4.9,3,Dealer,Sloane Porsche Audi,4.8,477,1607 Easton Rd Warrington,PA,18976,Great,4.7,5,5,4.7,4.7,5,Dolomite Silver Metallic,Black,All-wheel Drive,17,22,Gasoline,7-Speed Automatic with Auto-Shift,2.9L V6 24V GDI DOHC Twin Turbo,WP1AG2A51MLB51048,3048159,7215
2019,Honda,Ridgeline RTL-E,Used,"$40,000 ",4.8,165,Dealer,Hamilton Honda,4.8,4649,655 US Highway 130 Hamilton,NJ,8691,Great,4.9,4.8,4.8,4.6,4.7,4.9,Obsidian Blue Pearl,Gray,All-wheel Drive,18,25,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F74KB036434,34125U,17003
2020,BMW,X3 M40i,Used,"$52,998 ",4.9,51,Dealer,Paul Miller BMW,4.9,692,1515 Route 23 South Wayne,NJ,7470,Good,5,4.9,4.9,4.7,4.9,4.9,Dark Graphite,Black,All-wheel Drive,21,27,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXTY9C07LL304255,F19795,28266
2018,Dodge,Durango R/T,Used,"$41,991 ",4.8,146,Dealer,Route 46 Chrysler Jeep Dodge RAM,4.5,3017,1655 US-46 Little Falls,NJ,7424,Great,4.9,4.8,4.9,4.5,4.9,4.8,Vice White,Red / Black,All-wheel Drive,14,22,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C4SDJCT0JC444617,221210A,39841
2020,Lamborghini,Urus,Used,"$262,500 ",4.7,1,Dealer,Manhattan Motorcars Inc.,4.8,320,711 11th Ave New York,NY,10019,NA,4,5,5,5,5,4,Grigio Nimbus Metallic,Nero Ade,All-wheel Drive,12,17,Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,ZPBUA1ZL0LLA07026,PO4181,25428
2020,BMW,X3 M40i,BMW Certified,"$53,990 ",4.9,51,Dealer,BMW of Ridgefield,4.7,488,746 Danbury Road Ridgefield,CT,6877,Good,5,4.9,4.9,4.7,4.9,4.9,Blue Metallic,Oyster,All-wheel Drive,21,27,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXTY9C02L9B06022,BK0376,22190
2012,Volkswagen,Tiguan SE,Used,"$7,488 ",4.5,53,Dealer,Prime Wheels LLC,3.7,27,200 S. Main St East Windsor,CT,6088,Great,4.4,4.6,4.5,4.5,4.6,4.5,Black,Black,All-wheel Drive,21,27,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WVGBV7AX7CW562537,562537,152865
2019,BMW,330 i,BMW Certified,"$44,995 ",4.9,30,Dealer,BMW of Honolulu,4.5,344,777 Kapiolani Blvd Honolulu,HI,96813,Fair,4.9,4.9,5,4.6,4.9,4.9,Black Sapphire Metallic,Cognac,Rear-wheel Drive,26,36,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA5R1C5XKAE81896,B27323,16389
2019,Audi,Q8 3.0T Premium,Used,"$60,000 ",4.8,27,Dealer,Westboro Toyota,4.2,553,271 Turnpike Rd Westborough,MA,1581,Good,4.9,4.8,4.8,4.6,5,4.9,Samurai Gray Metallic,Black,All-wheel Drive,17,22,Hybrid,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo Hybrid,WA1AVAF17KD011787,PS72261,34067
2015,BMW,435 i,Used,"$27,975 ",4.8,27,Dealer,Imotobank,3.1,7,4-8 Industrial Rd Walpole,MA,2081,Great,4.8,4.8,4.9,4.6,4.9,4.8,Blue,Beige,Rear-wheel Drive,20,31,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA3T3C56FP738251,S76,39981
2020,Mercedes-Benz,GLE 350 4MATIC,Used,"$52,627 ",4.3,75,Dealer,Mercedes-Benz of Westwood,4.5,426,425 Providence Hwy,RT,1,Good,4.6,4.6,4,3.9,4.6,4.1,Obsidian Black Metallic,Black,All-wheel Drive,19,26,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,4JGFB4KB0LA211221,LA211221,45244
2018,BMW,X3 xDrive30i,Used,"$34,321 ",4.8,64,Dealer,Parkway Toyota of Boston,4.7,1107,1605 VFW Parkway West Roxbury,MA,2132,Fair,4.9,4.9,4.8,4.4,4.9,4.6,Phytonic Blue Metallic,Black,All-wheel Drive,22,29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UXTR9C56JLC73668,JLC73668T,49033
2019,Subaru,Forester,Used,"$25,975 ",4.7,279,Dealer,AutoFair Subaru,4.6,817,503 North Broadway Haverhill,MA,1832,Great,4.8,4.7,4.6,4.7,4.7,4.8,Crystal Black Silica,Gray,All-wheel Drive,26,33,Gasoline,Automatic CVT,2.5L H4 16V GDI DOHC,JF2SKACC4KH544778,SH05223T,22502
2018,Audi,S4 3.0T Premium Plus,Used,"$41,475 ",4.8,19,Dealer,Audi Peabody,4.6,242,252 Andover St Peabody,MA,1960,Good,4.8,4.9,4.9,4.6,4.7,4.8,Brilliant Black,Black,All-wheel Drive,21,30,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WAUB4AF44JA091652,JA091652,31159
2020,Acura,MDX 3.5L,Used,"$38,483 ",4.9,50,Dealer,Rusnak Volvo Cars,4.8,1240,2025 E Colorado Blvd Pasadena,CA,91107,Good,4.9,4.9,4.9,4.8,4.8,4.9,Majestic Black Pearl,Ebony,Front-wheel Drive,20,27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5J8YD3H36LL010236,16P01879,20803
2020,Toyota,Supra 3.0,Used,"$59,995 ",4.4,20,Dealer,Pacific Auto Center - Costa Mesa,1.7,16,2524 Harbor Blvd Costa Mesa,CA,92626,Good,4.3,4.1,4.7,4.4,4.5,4.7,Absolute Zero,Black,Rear-wheel Drive,24,31,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WZ1DB4C02LW029632,42753,11704
2014,Audi,Q5 2.0T Premium Plus,Used,"$18,189 ",4.7,76,Dealer,DCH Honda of Temecula,4.7,1007,26755 Ynez Rd Temecula,CA,92591,Good,4.7,4.7,4.7,4.5,4.8,4.7,Monsoon Gray Metallic,Black,All-wheel Drive,20,28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WA1LFAFP2EA067877,EA067877P,88573
2020,Porsche,Macan S,Used,"$68,880 ",4.5,23,Dealer,Porsche Palm Springs,5,3,3737 E Palm Canyon Dr Palm Springs,CA,92264,Good,4.4,4.5,4.5,4.3,4.6,4.5,Black,Black,All-wheel Drive,18,23,Gasoline,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Turbo,WP1AB2A58LLB30596,PLLB30596,15834
2020,BMW,X5 sDrive40i,Used,"$56,999 ",4.7,53,Dealer,BMW Fresno,4.8,315,7171 N Palm Ave Fresno,CA,93650,Good,4.8,4.8,4.8,4.4,4.7,4.7,Black Sapphire Metallic,Black,Rear-wheel Drive,21,26,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR4C0XLLT18568,24034,31383
